name,found,image_url,license,author,source,wikidata_qid
Jonny Edgar,True,https://upload.wikimedia.org/wikipedia/commons/a/a5/Jonny_Edgar%2C_F4%2C_N%C3%BCrburgring_2020.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:F1Marv&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:F1Marv (page does not exist)"">F1Marv</a>",wikidata_P18,Q104554111
Ricardo Escotto,True,https://commons.wikimedia.org/wiki/File%3A2024%20Hy-Vee%20Milwaukee%20Mile%20250s%20088%20%28Indy%20NXT%20qualifying--Ricardo%20Escotto%29.jpg,,,commons_category_search,Q121815019
Charlie Wurz,True,https://upload.wikimedia.org/wikipedia/commons/a/aa/Charlie_Wurz_2022.JPG,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q111967085
Hunter Yeany,True,https://upload.wikimedia.org/wikipedia/commons/c/c5/Hunter_Yeany_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q105755872
Rafael Câmara,True,https://upload.wikimedia.org/wikipedia/commons/3/38/Rafael_C%C3%A2mara_in_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q114284706
Sebastián Montoya,True,https://upload.wikimedia.org/wikipedia/commons/f/f9/Sebasti%C3%A1n_Montoya_at_the_Melbourne_Walk_during_the_2026_Australian_Grand_Prix_%28028A8351%29_cropped.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Pangalau"" title=""User:Pangalau"">Yu Chu Chin</a>",wikidata_P18,Q107203669
Arthur Leclerc,True,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Arthur_Leclerc_Austria_2022.jpg/330px-Arthur_Leclerc_Austria_2022.jpg,,,wikipedia_thumbnail,Q116953135
Victor Martins,True,https://upload.wikimedia.org/wikipedia/commons/a/ab/Victor_Martins_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q28043364
John Bennett,True,https://commons.wikimedia.org/wiki/File%3AVase%20MET%20ADA5573.jpg,,,commons_category_search,Q6221558
Christian Mansell,True,https://upload.wikimedia.org/wikipedia/commons/1/1d/Christian_Mansell_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q107309880
